Horodateur;Quel est votre âge ?;Quel est votre sexe ?;Quelle est votre profession actuelle ?;À quelle fréquence utilisez-vous des technologies basées sur l'IA, telles que des assistants vocaux ou des recommandations de produits  ?  ;Comment évalueriez-vous votre connaissance générale de l'IA ?;Comment décririez-vous votre opinion générale sur l'IA ? ;Dans quelle mesure pensez-vous que l'IA a actuellement un impact sur votre vie quotidienne ?;Sélectionnez les domaines dans lesquels vous pensez que l'IA a le plus d'impact : ;Dans quelle mesure avez-vous confiance dans les systèmes basés sur l'IA ?;Quels facteurs influencent le plus votre confiance ou méfiance envers l'IA ?;Pensez-vous qu'il est nécessaire de réglementer l'utilisation de l'IA ?;Quelles sont vos attentes en matière d'éthique dans le développement et l'utilisation de l'IA ?
2/25/2024 22:02:29;18-24 ans;Femme;Étudiant;Quotidiennement;Moyenne;Positive;Élevé;Travail, Santé, Éducation, Autre;Neutre;Connaissance approfondie de l'IA;Fortement d'accord;Modérées
2/25/2024 22:03:09;25-34 ans;Homme;Travailleur indépendant;Quotidiennement;Moyenne;Positive;Modéré;Éducation;Neutre;Transparence des algorithmes;Fortement d'accord;Modérées
2/25/2024 22:03:44;18-24 ans;Femme;Étudiant;Quotidiennement;Bonne;Positive;Élevé;Santé;Neutre;Explications claires sur les décisions de l'IA;Neutre;Élevées
2/25/2024 22:05:01;18-24 ans;Homme;Étudiant;Hebdomadairement;Moyenne;Positive;Élevé;Travail, Éducation;Confiant;Connaissance approfondie de l'IA;Pas d'accord;Élevées
2/25/2024 22:08:35;18-24 ans;Femme;Étudiant;Quotidiennement;Moyenne;Très positive;Élevé;Travail, Éducation;Confiant;Explications claires sur les décisions de l'IA, Expérience positive passée avec l'IA, Connaissance approfondie de l'IA;D'accord;Élevées
2/25/2024 22:08:47;18-24 ans;Femme;Étudiant;Hebdomadairement;Faible;Positive;Modéré;Travail, Santé, Éducation;Confiant;Explications claires sur les décisions de l'IA;D'accord;Modérées
Horodateur;Quel est votre âge ?;Quel est votre sexe ?;Quelle est votre profession actuelle ?;Hebdomadairement;Moyenne;Positive;Modéré;Travail;Peu confiant;Transparence des algorithmes, Autre;D'accord;Modérées
2/25/2024 22:02:29;18-24 ans;Femme;Étudiant;Quotidiennement;Bonne;Négative;Très élevé;Travail;Peu confiant;Connaissance approfondie de l'IA;Fortement d'accord;Très élevées
2/25/2024 22:02:29;25-34 ans;Homme;Travailleur indépendant;Quotidiennement;Moyenne;Positive;Élevé;Travail, Éducation;Confiant;Expérience positive passée avec l'IA;D'accord;Élevées
2/25/2024 22:02:29;18-24 ans;Femme;Étudiant;Hebdomadairement;Bonne;Positive;Modéré;Travail;Pas du tout confiant;Explications claires sur les décisions de l'IA;D'accord;Élevées
2/25/2024 22:02:29;18-24 ans;Homme;Étudiant;Rarement;Aucune;Positive;Modéré;Éducation;Confiant;Autre;D'accord;Modérées
2/25/2024 22:02:29;18-24 ans;Femme;Étudiant;Rarement;Faible;Très positive;Très élevé;Travail, Santé, Éducation;Confiant;Transparence des algorithmes;Fortement d'accord;Élevées
2/25/2024 22:02:29;18-24 ans;Femme;Étudiant;Quotidiennement;Bonne;Positive;Modéré;Éducation;Neutre;Transparence des algorithmes;Fortement d'accord;Modérées
Horodateur;Quel est votre âge ?;Quel est votre sexe ?;Quelle est votre profession actuelle ?;Quotidiennement;Moyenne;Positive;Modéré;Travail, Santé, Éducation, Divertissement;Confiant;Expérience positive passée avec l'IA;Fortement d'accord;Élevées
2/25/2024 22:02:29;18-24 ans;Femme;Étudiant;Quotidiennement;Bonne;Positive;Élevé;Travail, Santé, Éducation;Neutre;Connaissance approfondie de l'IA;Neutre;Modérées
2/25/2024 22:02:29;25-34 ans;Homme;Travailleur indépendant;Hebdomadairement;Bonne;Positive;Modéré;Travail, Éducation;Confiant;Transparence des algorithmes, Connaissance approfondie de l'IA;D'accord;Modérées
2/25/2024 22:02:29;18-24 ans;Femme;Étudiant;Hebdomadairement;Bonne;Très positive;Faible;Travail;Confiant;Explications claires sur les décisions de l'IA;D'accord;Très élevées
2/25/2024 22:02:29;18-24 ans;Homme;Étudiant;Hebdomadairement;Moyenne;Positive;Modéré;Travail, Éducation;Neutre;Expérience positive passée avec l'IA;Neutre;Élevées
2/25/2024 22:02:29;18-24 ans;Femme;Étudiant;Quotidiennement;Moyenne;Positive;Très élevé;Travail, Santé, Éducation, Divertissement;Très confiant;Expérience positive passée avec l'IA;D'accord;Modérées
2/25/2024 22:02:29;18-24 ans;Femme;Étudiant;Quotidiennement;Bonne;Positive;Modéré;Travail, Santé, Éducation;Neutre;Expérience positive passée avec l'IA;D'accord;Très élevées
Horodateur;Quel est votre âge ?;Quel est votre sexe ?;Quelle est votre profession actuelle ?;Quotidiennement;Bonne;Positive;Très élevé;Travail, Santé, Éducation;Confiant;Expérience positive passée avec l'IA;Fortement d'accord;Très élevées
